arm,nu,ratio_R04b,ratio_R04,difference,SE_difference,z
Eco_L1,4,0.58960872115214535,0.62219945616534944,-0.032590735013204086,0.029801611283166017,-1.0935896956556022
Eco_L1,4.5,0.705017640141121,0.69456295643988275,0.010454683701238254,0.034806691808368283,0.30036418740389231
Eco_L1,5,0.76733804426014474,0.7888869073674768,-0.021548863107332061,0.028176148980227547,-0.76479092733552245
Eco_L1,7,0.94745893341922427,0.98582455229997235,-0.038365618880748076,0.029921200000149816,-1.2822219322940249
Eco_L1,30,1.2368094839574382,1.2006082003022644,0.036201283655173722,0.032849996038682806,1.1020179001709642
Oracle_Eco,4,0.89145060946429067,0.88914632600459176,0.0023042834596989081,0.027924937078980847,0.082517051092421148
Oracle_Eco,4.5,0.99521133954795038,1.0081022514415838,-0.01289091189363345,0.038599516752334632,-0.33396562906072558
Oracle_Eco,5,1.0849318346682222,1.1291789786351893,-0.044247143966967162,0.031899950965308246,-1.3870599367092038
Oracle_Eco,7,1.2536262766167945,1.2887746292127904,-0.035148352595995913,0.034701266244382842,-1.0128838627519952
Oracle_Eco,30,1.544575851636478,1.5111903514987215,0.033385500137756541,0.038166521991562979,0.87473257702487739
