quantity,published,regenerated,printed_decimals,degree,source_cell
abrupt_slope,23.699999999999999,26.00163091567056,1,D2,"R05_abrupt_add_vs_gamma.csv, OLS of ADD_Data on Gamma"
abrupt_intercept,38,32.198021087947161,0,D2,"R05_abrupt_add_vs_gamma.csv, OLS of ADD_Data on Gamma"
sqrt_rule_fpr_pct,31,24.5,0,D2,"R05_abrupt_add_vs_gamma.csv, FPR_rule_xSqrtGamma max"
scaling_median_error_pct,5.4000000000000004,5.3465364880208366,1,D2,"R05_ramp_multigamma_2e5.csv, ADD_Data vs Eq. (5)"
recalib_margin_min_pct_2e5,7,-1.4207005144516671,0,D2,"R05_ramp_multigamma_2e5.csv, lambda_star_Data/Gamma"
recalib_margin_max_pct_2e5,29,39.288640521813953,0,D2,"R05_ramp_multigamma_2e5.csv, lambda_star_Data/Gamma"
lambda_iid_2e5,129.5,128.6318525456397,1,D2,"R05_ramp_multigamma_2e5.csv, lambda_iid_H"
grid_reach_wstar_2e5,22.5,22.500987840263527,1,D1,"R05_ramp_multigamma_2e5.csv, w_over_wstar_predicted max"
censoring_max_pct_2e5,1.3,0.25,1,D2,"R05_ramp_multigamma_2e5.csv, censored_Data max"
detection_min_pct_2e5,98.700000000000003,99.75,1,D2,"R05_ramp_multigamma_2e5.csv, DetRate_Data min"
lambda_over_gamma_min_2e5,138,126.80437915477509,0,D2,"R05_ramp_multigamma_2e5.csv, lambda_star_Data/Gamma"
lambda_over_gamma_max_2e5,167,179.16955868884588,0,D2,"R05_ramp_multigamma_2e5.csv, lambda_star_Data/Gamma"
sd_over_add_max_2e5,3.2000000000000002,0.94090852675287018,1,D2,"R05_ramp_multigamma_2e5.csv, SEM_Data and DetRate_Data"
med_over_add_min_2e5,0.68000000000000005,0.75860182099173989,2,D2,"R05_ramp_multigamma_2e5.csv, MED_Data/ADD_Data"
rho_w_share_pct_2e5,58,57.259679446899469,0,D2,"R05_ramp_multigamma_2e5.csv, widest w"
exponent_min_2e5,0.65000000000000002,0.67988657202513558,2,D2,"R05_ramp_multigamma_2e5.csv, ramp fit on w_delta_applied"
exponent_max_2e5,0.70999999999999996,0.69782172464094361,2,D2,"R05_ramp_multigamma_2e5.csv, ramp fit on w_delta_applied"
model_exponent_min_2e5,0.70999999999999996,0.70870111686658399,2,D1,"R05_ramp_multigamma_2e5.csv, Eq. (5) fit on w_delta_applied"
model_exponent_max_2e5,0.72999999999999998,0.71900760362669325,2,D2,"R05_ramp_multigamma_2e5.csv, Eq. (5) fit on w_delta_applied"
lambda_iid_3e6,303,282.536301764813,1,D2,"R05_ramp_multigamma_3e6.csv, lambda_iid_H"
grid_reach_wstar_3e6,225,224.99997428338642,1,D1,"R05_ramp_multigamma_3e6.csv, w_over_wstar_predicted max"
low_gamma_max_error_pct_3e6,5.7000000000000002,5.7976066524686569,1,D2,"R05_ramp_multigamma_3e6.csv, Gamma <= 4 vs Eq. (5)"
rho_w_share_pct_3e6,78,78.106009597817177,0,D1,"R05_ramp_multigamma_3e6.csv, widest w"
recalib_margin_max_pct_3e6,96,96.435906312089486,0,D1,"R05_ramp_multigamma_3e6.csv, lambda_star_Data/Gamma"
sixth_moment_gamma,7.0999999999999996,7.079317300492816,1,D1,"closed form, no Monte Carlo"
moment_margin_at_gamma_max,0.80000000000000004,0.79312727346836276,1,D1,"closed form, no Monte Carlo"
lambda_iid_ladder_77k,102.8,111.02513030242794,1,D2,"R05_lambda_iid_horizon.csv, H = 77000"
